HCl_mL,CH3COOH_mL,ZrCl4_mmol,HfCl4_mmol,Water_mL,Crystallized,FCC_Phase,Mesoporous,Uniform_Mesoporous,Non_Spherical,Intensity_Ratio
0.2,0.8,0.04,0.06,1.5,0,0,0,0,0,NA
0.8,0.2,0.06,0.04,1.5,1,1,1,1,1,2.61
0.2,0.8,0.08,0.02,1.5,0,0,0,0,0,NA
0.2,0.8,0.08,0.02,4.5,1,1,1,0,0,3.25
0.7,0.3,0.06,0.04,3.0,1,1,1,1,1,2.96
0.4,0.6,0.04,0.06,1.5,0,0,0,0,0,NA
0.8,0.2,0.04,0.06,4.5,1,1,1,1,1,2.46
0.8,0.2,0.0,0.1,4.5,1,1,1,1,0,1.825
0.8,0.2,0.02,0.08,3.0,1,1,1,1,1,1.7863
0.4,0.6,0.08,0.02,3.0,1,1,1,0,1,2.701
0.0,1.0,0.0,0.1,3.0,1,0,0,0,1,NA
0.6,0.4,0.08,0.02,3.0,1,1,1,1,1,2.65
1.0,0.0,0.04,0.06,3.0,0,0,0,0,0,NA
0.8,0.2,0.1,0.0,1.5,1,1,1,1,1,2.5955
0.4,0.6,0.0,0.1,3.0,1,1,1,1,1,2.709
1.0,0.0,0.0,0.1,3.0,0,0,0,0,0,NA
0.0,1.0,0.06,0.04,1.5,1,0,0,0,0,NA
0.6,0.4,0.02,0.08,3.0,1,1,1,1,1,2.65
0.8,0.2,0.0,0.1,1.5,1,1,1,1,1,0.976
0.2,0.8,0.02,0.08,4.5,1,1,1,0,1,NA
0.0,1.0,0.08,0.02,1.5,1,0,0,0,1,NA
0.8,0.2,0.1,0.0,3.0,1,1,1,1,1,2.249
0.3,0.7,0.04,0.06,1.5,0,0,0,0,0,NA
1.0,0.0,0.1,0.0,3.0,0,0,0,0,0,NA
0.7,0.3,0.06,0.04,1.5,1,1,1,1,1,2.258
0.6,0.4,0.06,0.04,3.0,1,1,1,1,1,3.065
1.0,0.0,0.04,0.06,4.5,0,0,0,0,0,NA
0.2,0.8,0.02,0.08,3.0,1,1,0,0,1,NA
1.0,0.0,0.06,0.04,3.0,0,0,0,0,0,NA
0.0,1.0,0.1,0.0,1.5,1,1,0,0,0,NA
0.0,1.0,0.1,0.0,4.5,1,0,0,0,1,NA
0.0,1.0,0.06,0.04,3.0,1,0,0,0,1,NA
0.6,0.4,0.06,0.04,4.5,1,1,1,1,1,2.672
0.0,1.0,0.08,0.02,3.0,1,0,0,0,1,NA
0.4,0.6,0.04,0.06,4.5,1,1,1,1,1,2.526
0.7,0.3,0.1,0.0,3.0,1,1,1,1,1,2.88
0.0,1.0,0.0,0.1,1.5,1,0,0,0,1,NA
0.6,0.4,0.1,0.0,4.5,1,1,1,1,1,2.635
0.0,1.0,0.02,0.08,3.0,1,0,0,0,1,NA
0.8,0.2,0.08,0.02,1.5,1,1,1,1,1,2.562
0.4,0.6,0.06,0.04,3.0,1,1,1,1,1,3.416
0.0,1.0,0.04,0.06,4.5,1,0,0,0,1,NA
0.2,0.8,0.0,0.1,3.0,1,1,0,0,1,NA
0.0,1.0,0.08,0.02,4.5,1,0,0,0,1,NA
0.4,0.6,0.04,0.06,3.0,1,1,1,0,0,NA
0.7,0.3,0.1,0.0,1.5,1,1,1,1,1,3.042
0.6,0.4,0.1,0.0,3.0,1,1,1,1,1,2.634
0.6,0.4,0.08,0.02,4.5,1,1,1,1,1,2.618
0.2,0.8,0.04,0.06,4.5,1,1,1,0,0,NA
0.2,0.8,0.08,0.02,3.0,1,0,0,0,1,NA
0.7,0.3,0.0,0.1,3.0,1,1,1,1,1,1.867
0.8,0.2,0.08,0.02,3.0,1,1,1,1,1,2.21
0.6,0.4,0.0,0.1,3.0,1,1,1,1,1,2.044
0.7,0.3,0.02,0.08,1.5,1,1,1,1,1,1.98
1.0,0.0,0.06,0.04,4.5,0,0,0,0,0,NA
1.0,0.0,0.1,0.0,1.5,0,0,0,0,0,NA
0.6,0.4,0.04,0.06,4.5,1,1,1,1,0,2.419
0.4,0.6,0.02,0.08,1.5,1,1,1,0,1,NA
0.6,0.4,0.06,0.04,1.5,1,1,1,1,1,3.261
0.2,0.8,0.06,0.04,4.5,1,1,0,0,1,NA
